,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,department,odds,Emp_ID
114,0.84,1.0,5,234,5,0,0,2,9,0.02862978,11364
115,0.37,0.48,2,137,3,0,0,2,9,0.00033193827,11365
116,0.86,0.68,5,263,2,0,0,2,9,0.00415954,11366
117,0.11,0.84,6,251,4,0,0,1,9,0.97227424,11367
118,0.37,0.57,2,133,3,0,0,1,9,0.012484461,11368
119,0.4,0.46,2,132,3,0,0,1,9,0.0032496154,11369
120,0.14,0.62,4,158,4,1,0,1,9,0.0022638142,11370
121,0.4,0.46,2,135,3,0,0,1,9,0.011676073,11371
122,0.75,1.0,4,216,6,0,0,1,9,0.016134262,11372
123,0.11,0.84,6,300,5,1,0,1,8,0.0017478466,11373
124,0.46,0.49,2,138,3,0,0,1,8,0.96625876,11374
125,0.11,0.92,6,260,4,0,0,1,8,0.18170252,11375
126,0.38,0.49,2,132,3,0,0,1,8,0.007983804,11376
127,0.7,0.89,3,183,5,0,0,1,8,0.8603157,11377
128,0.09,0.82,6,250,4,0,0,1,8,0.0026860535,11378
129,0.37,0.45,2,151,3,0,0,1,8,0.02867034,11379
130,0.1,0.83,6,292,4,0,0,1,8,0.95025,11380
131,0.38,0.57,2,140,3,0,0,1,8,0.0009468794,11381
132,0.9,1.0,5,221,5,0,0,1,8,0.037807763,11382
133,0.44,0.51,2,138,3,0,0,1,8,0.019719154,11383
134,0.36,0.5,2,132,3,0,0,1,9,0.00023543835,11384
135,0.31,0.84,7,133,5,0,0,1,9,0.0059219897,11385
136,0.1,0.84,6,283,4,1,0,1,9,0.011133105,11386
137,0.42,0.48,2,129,3,0,0,1,4,0.8330782,11387
138,0.74,1.0,4,249,5,0,0,1,0,0.004333496,11388
139,0.73,0.87,5,257,5,0,0,1,0,0.038277775,11389
140,0.09,0.96,6,245,4,0,0,1,0,0.0004068017,11390
141,0.45,0.53,2,155,3,0,0,1,0,0.978747,11391
142,0.11,0.8,6,256,4,0,0,1,0,0.146355,11392
143,0.37,0.47,2,152,3,0,0,1,6,0.001996994,11393
144,0.84,0.99,4,267,5,0,0,1,6,0.0033941567,11394
145,0.41,0.46,2,151,3,0,0,1,6,0.0025067925,11395
146,0.76,0.92,4,239,5,0,0,1,6,0.98392737,11396
147,0.11,0.87,6,306,4,0,0,1,0,0.014428496,11397
148,0.84,0.88,4,263,5,1,0,1,5,0.008389413,11398
149,0.39,0.5,2,147,3,0,0,1,5,0.9629477,11399
150,0.11,0.91,6,278,4,0,0,1,5,0.0040513873,11400
151,0.45,0.56,2,154,3,0,0,1,5,0.0036154091,11401
152,0.37,0.52,2,143,3,0,0,1,5,0.005243629,11402
153,0.4,0.52,2,155,3,0,0,1,5,0.0010689199,11403
154,0.39,0.48,2,160,3,0,0,1,7,0.0001848638,11404
155,0.11,0.8,6,304,4,0,0,1,2,0.00011500404,11405
156,0.83,1.0,5,240,5,0,0,1,8,0.0022238195,11406
157,0.11,0.92,6,305,4,0,0,1,9,0.0067581832,11407
158,0.39,0.5,2,136,3,0,0,1,4,0.98564893,11408
159,0.45,0.45,2,132,3,0,0,1,5,0.018390447,11409
160,0.1,0.95,7,301,4,0,0,1,5,0.029392004,11410
161,0.9,0.98,5,243,6,0,0,1,5,0.025877208,11411
162,0.45,0.51,2,147,3,0,0,1,7,0.00025430322,11412
163,0.79,0.89,5,239,5,0,0,1,7,0.0053147674,11413
164,0.9,0.99,5,260,5,0,0,1,7,0.39579707,11414
165,0.11,0.84,7,296,4,0,0,1,7,0.13713968,11415
166,0.43,0.55,2,129,3,0,0,1,7,0.0037691295,11416
167,0.31,0.54,5,132,5,0,0,1,7,0.0029359758,11417
168,0.32,0.5,2,135,5,0,0,1,7,3.88756e-05,11418
169,0.45,0.57,2,158,3,0,0,1,7,0.021494776,11419
170,0.81,0.99,4,259,5,0,0,1,7,0.0012252331,11420
171,0.41,0.46,2,160,3,0,1,1,7,0.8755427,11421
172,0.11,0.78,7,278,4,0,0,1,7,0.012612164,11422
173,0.1,0.88,6,284,4,0,0,1,7,0.9283834,11423
174,0.7,0.53,2,274,4,0,0,1,7,0.0007662475,11424
175,0.54,0.74,4,164,2,0,0,1,7,0.042927593,11425
176,0.41,0.48,2,148,3,0,0,1,7,0.0019415021,11426
177,0.38,0.5,2,140,3,0,0,2,7,0.003933072,11427
178,0.37,0.51,2,127,3,0,0,2,7,0.00034737587,11428
179,0.11,0.85,6,308,5,0,0,2,7,0.007938772,11429
180,0.4,0.47,2,146,3,0,0,2,7,0.00029832125,11430
181,0.1,0.84,6,261,4,0,0,2,2,0.001850009,11431
182,0.89,0.99,5,257,5,0,0,2,2,0.0038070679,11432
183,0.11,0.8,6,285,4,0,0,2,2,0.0004581511,11433
184,0.36,0.55,2,141,3,0,0,2,3,0.19949651,11434
185,0.4,0.46,2,127,3,0,0,2,3,0.97954655,11435
186,0.09,0.85,6,297,4,0,0,2,3,0.98323834,11436
187,0.4,0.46,2,143,3,0,0,2,3,0.00023049116,11437
188,0.37,0.55,2,152,3,0,0,2,9,0.0023316443,11438
189,0.44,0.51,2,156,3,0,0,0,9,0.02904728,11439
190,0.09,0.8,7,283,5,0,0,1,9,0.00031268597,11440
191,0.92,0.87,4,226,6,1,0,2,9,0.0067459047,11441
192,0.74,0.91,4,232,5,0,0,2,9,0.014216483,11442
193,0.09,0.82,6,249,4,0,0,2,9,0.06462881,11443
194,0.89,0.95,4,275,5,0,0,2,9,0.002739489,11444
195,0.09,0.8,6,304,4,0,0,1,9,0.0006247461,11445
196,0.27,0.54,7,278,3,0,0,1,9,0.9906368,11446
197,0.1,0.91,6,287,4,0,0,1,9,0.9773505,11447
198,0.1,0.89,7,285,4,0,0,1,9,0.00015729666,11448
199,0.77,0.94,5,226,6,0,0,1,8,0.005896747,11449
200,0.9,0.82,5,259,5,0,0,1,8,0.00012178839,11450
201,0.39,0.5,2,135,3,0,0,1,8,0.041680902,11451
202,0.76,1.0,5,219,5,0,0,1,8,0.013456255,11452
203,0.1,0.93,6,256,4,0,0,1,8,0.018789083,11453
204,0.87,0.9,5,254,6,0,0,1,8,5.2744963e-05,11454
205,0.38,0.5,2,153,3,0,0,1,8,0.9145836,11455
206,0.77,0.99,5,228,5,0,0,1,8,0.008868009,11456
207,0.78,0.87,4,228,5,0,0,1,8,0.008862853,11457
208,0.44,0.5,2,128,3,0,0,1,8,0.9323913,11458
209,0.38,0.52,2,153,3,0,0,1,8,0.14995319,11459
210,0.43,0.46,2,156,3,0,0,1,9,0.0013073683,11460
211,0.39,0.5,4,294,3,0,0,1,9,0.013466656,11461
212,0.88,1.0,5,219,5,0,0,1,9,0.020582825,11462
213,0.45,0.46,2,153,3,0,0,1,4,0.01953575,11463
214,0.4,0.53,2,151,3,0,0,1,0,0.0006708205,11464
215,0.36,0.51,2,155,3,0,0,1,0,0.004060626,11465
216,0.36,0.48,2,158,3,0,0,1,0,0.010829002,11466
217,0.9,0.98,5,245,5,0,0,1,0,0.01976031,11467
218,0.43,0.53,2,131,3,0,0,1,0,0.0055491626,11468
219,0.89,0.87,5,225,5,0,0,1,6,0.0009730458,11469
220,0.1,0.84,6,286,4,0,0,1,6,0.029090136,11470
221,0.37,0.5,2,135,3,0,0,1,6,0.9730326,11471
222,0.37,0.51,2,153,3,0,0,1,6,0.0102908015,11472
223,0.87,0.9,5,252,5,0,0,1,0,0.0006055832,11473
224,0.4,0.56,2,149,3,0,0,1,2,0.0018593371,11474
225,0.9,0.97,4,258,5,0,0,1,2,0.028393716,11475
226,0.37,0.46,2,158,3,0,0,1,3,0.0045951307,11476
227,0.44,0.54,2,149,3,0,0,1,3,0.03088203,11477
228,0.85,0.95,5,236,5,0,0,1,3,0.04218605,11478
229,0.78,0.98,5,239,6,0,0,1,5,0.00026080012,11479
230,0.42,0.47,2,159,3,0,0,1,5,0.3374702,11480
231,0.92,0.99,5,255,6,0,0,1,7,0.9816557,11481
232,0.11,0.83,6,244,4,0,0,1,2,0.011159837,11482
233,0.42,0.56,2,134,3,0,0,1,8,0.005135596,11483
234,0.48,0.57,4,270,4,0,0,1,9,0.021889567,11484
235,0.83,0.85,4,255,5,0,0,1,4,0.92917067,11485
236,0.4,0.53,2,151,3,0,0,1,5,0.011268765,11486
237,0.43,0.45,2,135,3,0,0,1,5,0.0059749186,11487
238,0.43,0.53,2,146,3,0,0,1,5,0.007170588,11488
239,0.1,0.97,7,254,4,0,0,1,7,0.00083094835,11489
240,0.1,0.87,7,289,4,0,0,1,7,0.010298997,11490
241,0.37,0.46,2,156,3,0,0,1,7,0.008117288,11491
242,0.38,0.53,2,156,3,0,0,1,7,0.013301551,11492
243,0.4,0.5,2,128,3,0,0,1,7,0.0065434575,11493
244,0.89,0.86,5,275,5,0,0,1,7,0.00075525045,11494
245,0.45,0.46,2,155,3,0,0,1,7,0.2451464,11495
246,0.37,0.48,2,159,3,0,0,1,7,0.009687185,11496
247,0.46,0.49,2,148,3,0,0,1,7,0.0019265115,11497
248,0.87,0.91,4,228,5,0,0,1,7,0.015066624,11498
249,0.11,0.84,6,298,4,0,0,1,7,0.0047554374,11499
250,0.79,0.87,5,261,5,0,0,1,7,0.022093713,11500
251,0.79,0.92,5,254,6,0,0,1,7,0.003754139,11501
252,0.19,0.59,7,192,3,0,0,1,7,0.0015796721,11502
253,0.87,0.98,4,248,5,0,0,1,7,0.03924027,11503
254,0.6,0.92,2,258,5,0,0,1,7,0.004878521,11504
255,0.44,0.45,2,156,3,0,0,2,7,0.0022571385,11505
256,0.11,0.81,6,266,4,1,0,2,7,0.003019154,11506
257,0.42,0.54,2,156,3,0,0,2,7,0.9796841,11507
258,0.88,0.88,5,232,5,1,0,2,2,0.99346966,11508
259,0.11,0.84,6,287,4,0,0,2,2,0.02700597,11509
260,0.46,0.46,2,154,3,0,0,2,2,0.13445893,11510
261,0.82,0.97,5,263,5,0,0,2,3,0.0022832751,11511
262,0.44,0.56,2,131,3,0,0,2,3,0.034452736,11512
263,0.11,0.78,6,260,4,0,0,2,3,0.5263737,11513
264,0.42,0.5,2,139,3,0,0,2,3,0.005194694,11514
265,0.84,0.93,4,251,5,0,0,2,9,0.0005348325,11515
266,0.11,0.95,6,286,4,0,0,2,9,0.034642696,11516
267,0.45,0.53,2,129,3,0,0,0,9,7.6567136e-05,11517
268,0.38,0.56,2,156,3,0,0,1,9,0.02567178,11518
269,0.38,0.86,6,139,6,0,0,2,9,0.004509151,11519
270,0.44,0.51,2,127,3,0,0,2,9,0.0020493865,11520
271,0.11,0.84,6,251,4,0,0,2,9,0.038204312,11521
272,0.81,0.93,5,270,5,0,0,2,9,0.2784479,11522
273,0.09,0.96,6,296,4,0,0,1,9,0.010463089,11523
274,0.11,0.9,6,254,4,0,0,1,9,0.006702721,11524
275,0.81,0.95,5,238,6,0,0,1,9,0.0005739033,11525
276,0.1,0.97,6,267,4,1,0,1,8,8.089203e-06,11526
277,0.74,0.89,5,229,6,0,0,1,8,0.009868443,11527
278,0.09,0.78,6,254,4,0,0,1,8,0.044287354,11528
279,0.82,0.81,4,233,4,1,0,1,8,0.9653789,11529
280,0.1,0.98,6,268,4,0,0,1,8,0.9018622,11530
281,0.27,0.56,3,301,3,0,0,1,8,0.0023600757,11531
282,0.83,0.92,5,267,6,0,0,1,8,0.003509581,11532
283,0.1,0.93,6,289,4,1,0,1,8,0.013497204,11533
284,0.38,0.47,2,144,3,0,0,1,8,0.002309084,11534
285,0.4,0.56,2,148,3,0,0,1,8,0.0059749186,11535
286,0.11,0.83,6,306,4,0,0,1,8,0.88149065,11536
287,0.11,0.79,6,292,4,0,1,1,9,0.07755375,11537
288,0.82,0.91,5,232,5,0,0,1,9,0.00030106306,11538
289,0.36,0.48,2,137,3,0,0,1,9,0.006547004,11539
290,0.4,0.46,2,128,3,0,0,1,4,0.036594123,11540
291,0.87,0.84,5,231,5,0,0,1,0,0.056339383,11541
292,0.41,0.49,2,146,3,0,0,1,0,0.024615347,11542
293,0.11,0.91,6,308,4,1,0,1,0,0.017952204,11543
294,0.1,0.93,6,253,4,0,0,2,0,0.011253089,11544
295,0.38,0.51,2,146,3,0,0,2,0,0.9984207,11545
296,0.39,0.55,2,156,3,0,0,2,6,0.0038164854,11546
297,0.4,0.52,2,147,3,0,0,2,6,1.80266e-05,11547
298,0.45,0.48,2,136,3,0,0,2,6,0.003446579,11548
299,0.74,0.84,5,249,5,0,0,2,6,0.013116479,11549
300,0.45,0.55,2,151,3,0,0,2,0,0.9944761,11550
301,0.12,1.0,3,278,4,0,0,2,1,0.97761214,11551
302,0.1,0.77,7,250,5,0,0,2,1,0.0007226467,11552
303,0.37,0.55,2,127,3,0,0,2,1,0.13714257,11553
304,0.89,0.87,5,255,5,0,0,2,1,0.012563795,11554
305,0.45,0.47,2,135,3,0,0,2,1,0.025206834,11555
306,0.37,0.46,2,149,3,0,0,0,5,0.007679403,11556
307,0.11,0.81,5,287,4,0,0,1,7,0.0067506433,11557
308,0.41,0.48,2,145,3,0,0,2,2,0.0021757483,11558
309,0.1,0.94,6,285,4,0,0,2,8,0.9084789,11559
310,0.1,0.93,7,305,4,0,0,2,9,0.014214575,11560
311,0.11,0.95,7,300,4,0,0,2,4,0.92057145,11561
312,0.4,0.54,2,139,3,0,0,1,5,0.9503542,11562
313,0.41,0.49,2,130,3,0,0,1,5,0.021889567,11563
314,0.1,0.81,6,268,4,0,0,1,5,0.023308039,11564
315,0.73,0.86,4,245,6,0,0,1,7,0.027041942,11565
316,0.43,0.47,2,135,3,0,0,1,7,0.01942864,11566
317,0.37,0.46,2,153,3,0,0,1,7,0.0026374757,11567
318,0.11,0.94,6,276,4,0,0,1,7,0.9767138,11568
319,0.4,0.46,2,130,3,0,0,1,7,0.98173416,11569
320,0.41,0.54,2,153,3,1,0,1,7,0.0054455996,11570
321,0.82,0.84,5,244,5,0,0,1,7,0.0040391088,11571
322,0.61,0.47,2,253,3,0,0,1,7,0.0021331012,11572
323,0.11,0.91,7,287,4,0,0,1,7,0.042772263,11573
324,0.37,0.45,2,131,3,0,0,1,7,0.026968926,11574
325,0.41,0.52,2,135,3,0,0,1,7,0.0019280612,11575
326,0.37,0.52,2,157,3,0,0,1,7,0.0015827417,11576
327,0.88,0.99,5,262,6,0,0,1,7,0.00807789,11577
328,0.1,0.85,6,266,4,0,0,1,7,0.004281342,11578
329,0.44,0.48,2,148,3,0,0,1,7,0.00064992905,11579
330,0.38,0.57,2,140,3,0,0,1,7,0.005103588,11580
331,0.11,0.85,7,302,4,0,0,1,7,0.03333178,11581
332,0.09,0.98,6,271,4,0,0,1,7,0.998698,11582
333,0.45,0.52,2,145,3,0,0,2,7,0.056783557,11583
334,0.1,0.81,6,290,4,0,0,2,2,0.8585341,11584
335,0.45,0.47,2,151,3,0,0,2,2,0.89133084,11585
336,0.77,0.87,5,266,5,0,0,2,2,0.0030011833,11586
337,0.44,0.51,2,140,3,0,0,2,3,0.0118279755,11587
338,0.39,0.5,2,142,3,0,0,2,3,0.013290435,11588
339,0.1,0.91,6,246,4,0,0,2,3,0.00068864226,11589
340,0.09,0.89,7,308,5,0,0,2,3,0.008658975,11590
341,0.37,0.47,2,141,3,0,0,2,9,0.026088417,11591
342,0.9,1.0,5,232,5,0,0,2,9,0.0019954145,11592
343,0.41,0.56,2,143,3,0,0,2,9,0.9039407,11593
344,0.37,0.52,2,155,3,0,0,2,9,0.047099352,11594
345,0.1,0.86,6,278,4,0,0,0,9,0.9728859,11595
346,0.81,1.0,4,253,5,0,0,1,9,0.00945577,11596
347,0.11,0.8,6,282,4,0,0,2,9,0.011885881,11597
348,0.11,0.84,7,264,4,0,0,2,9,0.0060523152,11598
349,0.4,0.46,2,149,3,0,0,2,9,0.008106291,11599
350,0.09,0.8,6,304,5,0,0,2,9,0.014573187,11600
351,0.48,0.93,3,219,6,0,0,1,9,0.02882418,11601
352,0.91,0.91,4,262,6,0,0,1,8,0.9565507,11602
353,0.43,0.57,2,135,3,0,0,1,8,0.008037776,11603
354,0.33,0.88,6,219,5,0,0,1,8,0.006131023,11604
355,0.41,0.57,2,136,3,0,0,1,8,0.00031360984,11605
356,0.41,0.55,2,154,3,0,0,1,8,0.0019168258,11606
357,0.37,0.54,2,149,3,0,0,1,8,0.0031569898,11607
358,0.31,0.62,6,135,5,0,0,1,8,0.006119877,11608
359,0.09,0.91,6,275,4,0,0,1,8,0.04645762,11609
360,0.1,0.87,6,290,4,0,0,1,8,0.001275599,11610
361,0.76,0.9,4,263,5,0,0,1,8,0.017287314,11611
362,0.41,0.54,2,145,3,0,0,1,8,0.118994266,11612
363,0.72,0.96,5,267,5,0,0,1,9,0.0015661418,11613
364,0.4,0.5,2,141,3,1,0,1,9,0.86291003,11614
365,0.91,0.87,4,235,5,0,0,1,9,0.006729692,11615
366,0.1,0.83,6,258,4,0,0,1,4,0.0013532937,11616
367,0.4,0.56,2,131,3,0,0,1,0,0.0026158392,11617
368,0.82,0.86,5,243,5,0,0,1,0,0.0040047765,11618
369,0.1,0.82,6,266,4,0,0,1,0,0.0149413645,11619
370,0.37,0.45,2,142,3,0,0,1,0,0.022010028,11620
371,0.36,0.51,2,135,3,0,0,1,0,0.010812044,11621
372,0.39,0.48,2,141,3,0,0,2,6,0.012778819,11622
373,0.36,0.57,2,142,3,0,0,2,6,0.006496638,11623
374,0.86,0.84,5,254,5,0,0,2,6,0.99284834,11624
375,0.73,0.99,5,262,5,0,0,2,6,0.0018129051,11625
376,0.56,0.71,4,296,2,0,0,2,0,3.435029e-05,11626
377,0.44,0.56,2,158,3,0,0,2,2,0.0042791665,11627
378,0.31,0.56,4,238,2,0,0,2,2,0.027217835,11628
379,0.77,0.93,4,231,5,0,0,2,3,0.017126411,11629
380,0.44,0.45,2,156,3,0,0,2,3,0.0019590855,11630
381,0.38,0.46,2,145,3,0,0,2,3,0.9823274,11631
382,0.45,0.48,2,144,3,0,0,2,5,0.96970403,11632
383,0.38,0.51,2,159,3,0,0,2,7,0.0005132854,11633
384,0.36,0.48,2,156,3,0,0,0,2,0.0013916492,11634
385,0.75,0.9,5,256,5,0,0,1,8,0.8361255,11635
386,0.1,0.93,6,298,4,0,0,2,9,0.0020563304,11636
387,0.1,0.97,6,247,4,0,0,2,4,0.9712237,11637
388,0.45,0.5,2,157,3,0,0,2,5,0.003742665,11638
389,0.42,0.57,2,154,3,1,0,2,5,0.0028996468,11639
390,0.78,1.0,4,253,5,0,0,1,5,0.009330213,11640
391,0.45,0.55,2,148,3,0,0,1,7,0.9986787,11641
392,0.84,1.0,4,261,5,0,0,1,7,0.03612399,11642
393,0.11,0.93,6,282,4,0,0,1,7,0.9917958,11643
394,0.42,0.56,2,133,3,0,0,1,7,0.9319026,11644
395,0.45,0.46,2,128,3,0,0,1,7,0.9880028,11645
396,0.46,0.57,2,139,3,0,0,1,7,0.003471136,11646
397,0.09,0.79,6,293,5,0,0,1,7,0.031936258,11647
398,0.87,0.83,4,265,6,0,0,1,7,0.76994973,11648
399,0.1,0.87,6,250,4,0,0,1,7,0.17889476,11649
400,0.91,1.0,5,251,6,0,0,1,7,0.60881567,11650
401,0.76,0.92,4,246,5,0,0,1,7,0.07571307,11651
402,0.74,1.0,5,275,5,0,0,1,7,0.0014117956,11652
403,0.92,0.93,5,240,5,0,0,1,7,0.991244,11653
404,0.76,0.87,5,245,5,0,0,1,7,0.03259465,11654
405,0.47,0.5,4,254,4,0,0,1,7,0.045295,11655
406,0.73,0.99,5,241,5,0,0,1,7,0.02342999,11656
407,0.09,0.94,6,257,4,0,0,1,7,0.0034629107,11657
408,0.91,0.92,4,246,5,0,0,1,7,0.008873731,11658
409,0.82,0.98,4,233,5,0,0,1,7,0.9558321,11659
410,0.28,0.45,6,218,4,0,0,1,2,0.96907526,11660
411,0.84,0.99,4,262,6,0,0,2,2,0.0029084086,11661
412,0.45,0.53,2,138,3,0,0,2,2,0.9693308,11662
413,0.45,0.54,2,142,3,0,0,2,3,0.026809514,11663
414,0.91,0.97,5,233,5,0,0,2,3,0.007513821,11664
